statecode,statename,distnew_1,nfhs1_districtname,districtcode_nfhs1,distnew_2,nfhs2_districtname,districtcode_nfhs2,state_nfhs5,name_nfhs5,distnew_4,nfhs4_districtname,districtcode_nfhs4,distnew_5,nfhs5_districtname,districtcode_nfhs5,state_sbm,district_sbm,,,,,,,,,,,,,,
,,,,,,,,134,telangana,,,,1629,khammam,892,TELANGANA,KHAMMAM,,,,,,,,,,,,,,
2,andhra pradesh,1629,NALGONDA,23,1629,NALGONDA,23,134,telangana,1629,nalgonda,539,1629,nalgonda,900,TELANGANA,NALGONDA,,,,,,,,,,,,,,
,,,,,,,,134,telangana,,,,1629,peddapalli,903,TELANGANA,PEDDAPALLI,,,,,,,,,,,,,,
,,,,,,,,134,telangana,,,,1629,rajanna sircilla,904,TELANGANA,RAJANNA SIRICILLA,,,,,,,,,,,,,,
,,,,,,,,134,telangana,,,,1629,sangareddy,906,TELANGANA,SANGAREDDY,,,,,,,,,,,,,,
,,,,,,,,134,telangana,,,,1629,siddipet,907,TELANGANA,SIDDIPET,,,,,,,,,,,,,,
,,,,,,,,134,telangana,,,,1629,suryapet,908,TELANGANA,SURYAPET,,,,,,,,,,,,,,
,,,,,,,,134,telangana,,,,1629,yadadri bhuvanag,913,TELANGANA,YADADRI,,,,,,,,,,,,,,
3,assam,1587,Dhubri,1,1587,Dhubri,1,117,assam,1587,dhubri,301,1587,dhubri,812,ASSAM,DHUBRI,,,,,,,,,,,,,,
,,,,,,,,117,assam,,,,1587,south salmara ma,820,ASSAM,SOUTH SALMARA MANCACHAR,,,,,,,,,,,,,,
3,assam,1272,Bongaigaon,3,1272,Bongaigaon,3,117,assam,1272,bongaigaon,319,1272,bongaigaon,319,ASSAM,BONGAIGAON,,,,,,,,,,,,,,
,,,,,,,,117,assam,1272,kokrajhar,300,1272,kokrajhar,300,ASSAM,KOKRAJHAR,,,,,,,,,,,,,,
,,,,,,,,117,assam,1272,chirang,320,1272,chirang,320,ASSAM,CHIRANG,,,,,,,,,,,,,,
3,assam,1272,Barpeta,5,1272,Barpeta,5,117,assam,1272,barpeta,303,1272,barpeta,303,ASSAM,BARPETA,,,,,,,,,,,,,,
3,assam,1272,Nalbari,6,1272,Nalbari,6,117,assam,1272,nalbari,323,1272,nalbari,323,ASSAM,NALBARI,,,,,,,,,,,,,,
3,assam,1272,Kamrup,7,1272,Kamrup,7,117,assam,1272,kamrup,321,1272,kamrup,321,ASSAM,KAMRUP,,,,,,,,,,,,,,
,,,,,,,,117,assam,1272,kamrup metropolitan,322,1272,kamrup metropoli,322,ASSAM,KAMRUP METROPOLITAN,,,,,,,,,,,,,,
,,,,,,,,117,assam,1272,baksa,324,1272,baksa,324,ASSAM,BAKSA,,,,,,,,,,,,,,
3,assam,1271,Goalpara,4,1271,Goalpara,4,117,assam,1271,goalpara,302,1271,goalpara,302,ASSAM,GOALPARA,,,,,,,,,,,,,,
3,assam,,,,1585,Darrang,8,117,assam,1585,darrang,325,1585,darrang,325,ASSAM,DARRANG,,,,,,,,,,,,,,
3,assam,1585,Sonitpur,9,1585,Sonitpur,9,117,assam,1585,sonitpur,306,1585,biswanath,810,ASSAM,BISWANATH,,,,,,,,,,,,,,
,,,,,,,,117,assam,,,,1585,sonitpur,819,ASSAM,SONITPUR,,,,,,,,,,,,,,
,,,,,,,,117,assam,1585,udalguri,326,1585,udalguri,326,ASSAM,UDALGURI,,,,,,,,,,,,,,
3,assam,1274,Lakhimpur,10,1274,Lakhimpur,10,117,assam,1274,lakhimpur,307,1274,lakhimpur,307,ASSAM,LAKHIMPUR,,,,,,,,,,,,,,
3,assam,1275,Dhemaji,11,1275,Dhemaji,11,117,assam,1275,dhemaji,308,1275,dhemaji,308,ASSAM,DHEMAJI,,,,,,,,,,,,,,
3,assam,1273,Marigaon,12,1273,Marigaon,12,117,assam,1273,morigaon,304,1273,morigaon,304,ASSAM,MORIGAON,,,,,,,,,,,,,,
3,assam,1588,Nagaon,13,1588,Nagaon,13,117,assam,1588,nagaon,305,1588,hojai,813,ASSAM,HOJAI,,,,,,,,,,,,,,
,,,,,,,,117,assam,,,,1588,nagaon,817,ASSAM,NAGAON,,,,,,,,,,,,,,
3,assam,1278,Golaghat,14,1278,Golaghat,14,117,assam,1278,golaghat,313,1278,golaghat,313,ASSAM,GOLAGHAT,,,,,,,,,,,,,,
3,assam,1589,Jorhat,15,1589,Jorhat,15,117,assam,1589,jorhat,312,1589,majuli,816,ASSAM,MAJULI,,,,,,,,,,,,,,
,,,,,,,,117,assam,,,,1589,jorhat,814,ASSAM,JORHAT,,,,,,,,,,,,,,
3,assam,1586,Sibsagar,16,1586,Sibsagar,16,117,assam,1586,sivasagar,311,1586,charaideo,811,ASSAM,CHARAIDEO,,,,,,,,,,,,,,
,,,,,,,,117,assam,,,,1586,sivasagar,818,ASSAM,SIVASAGAR,,,,,,,,,,,,,,
3,assam,1277,Dibrugarh,17,1277,Dibrugarh,17,117,assam,1277,dibrugarh,310,1277,dibrugarh,310,ASSAM,DIBRUGARH,,,,,,,,,,,,,,
3,assam,1276,Tinsukia,18,1276,Tinsukia,18,117,assam,1276,tinsukia,309,1276,tinsukia,309,ASSAM,TINSUKIA,,,,,,,,,,,,,,
3,assam,1590,Karbi Anglong,19,1590,Karbi Anglong,19,117,assam,1590,karbi anglong,314,1590,karbi anglong,815,ASSAM,KARBI ANGLONG,,,,,,,,,,,,,,
,,,,,,,,117,assam,,,,1590,west karbi anglo,821,ASSAM,WEST KARBI ANGLONG,,,,,,,,,,,,,,
3,assam,1281,Karimganj,21,1281,Karimganj,21,117,assam,1281,karimganj,317,1281,karimganj,317,ASSAM,KARIMGANJ,,,,,,,,,,,,,,
